epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2506129371708836,0.16199169545296704,0.58,1.280985713005066,0.00019400438759475946,1.9400438759475946e-05,0.06290695816278458,0.0005225638742558658,5.225638742558658e-05,0.0008306932802308217,-0.5386794805526733
2,1.1930097588177384,0.17196178764702322,0.7549999999999999,1.249344825744629,0.0002141461445717141,2.141461445717141e-05,0.07421274483203888,0.000625204062089324,6.252040620893241e-05,0.0008424483739340323,0.3807101547718048
3,1.1799179264183701,0.17527352853835007,0.73,1.242772102355957,0.00025090225972235203,2.5090225972235205e-05,0.05322325602173805,0.0007263000006787479,7.26300000678748e-05,0.0013646290267963015,-0.6601383686065674
4,1.175054513174912,0.17775562441789444,0.59,1.2426012754440308,0.00029485917184501886,2.9485917184501887e-05,0.16932375729084015,0.0008443702827207744,8.443702827207745e-05,0.0004986720683680766,-0.6067185997962952
5,1.1727549803668056,0.17783035262982438,0.625,1.2374420166015625,0.0003459205327089876,3.4592053270898763e-05,0.12350472062826157,0.0009359147516079247,9.359147516079247e-05,0.0007577967440005362,-0.5888555645942688
6,1.1707447839194332,0.18852260223662187,0.7799999999999999,1.2318198680877686,0.00041418339242227376,4.141833924222738e-05,0.06938152015209198,0.0010169874876737595,0.00010169874876737596,0.0014657901490835173,-0.4424508213996887
7,1.1683618744899487,0.18418982643344362,0.7499999999999999,1.228520154953003,0.0004991404712200165,4.991404712200165e-05,0.19128574430942535,0.0011494975769892335,0.00011494975769892335,0.0006009321714689815,-0.4923801124095917
8,1.1635530662947688,0.1810627961223406,0.6499999999999999,1.2168941497802734,0.0006653810269199312,6.653810269199313e-05,0.2243330478668213,0.0014303714269772172,0.00014303714269772171,0.0006376106599444852,-0.4484890103340149
9,1.1579793537485188,0.17643231537931936,0.7649999999999999,1.2128289937973022,0.0008302177302539349,8.30217730253935e-05,0.1101229190826416,0.0016569739673286676,0.00016569739673286677,0.0015046585952604415,0.3224295377731323
10,1.1550854721973682,0.18434346865672038,0.6749999999999999,1.209443211555481,0.0008368635317310691,8.368635317310691e-05,0.28445830941200256,0.0017331370618194342,0.00017331370618194343,0.0006092762997157522,-0.4554367959499359
