epoch,train_loss,validation_mcc,threshold
1,1.2422752503691048,0.20922765064251778,0.6399999999999999
2,1.1942410078541985,0.21870223005326658,0.735
3,1.1838231045624306,0.2211501412460821,0.7499999999999999
4,1.1794418199308987,0.22487146405596467,0.825
5,1.1758430497399692,0.22329385738131793,0.7799999999999999
6,1.1715936856023197,0.22681919008927237,0.8099999999999999
7,1.1676914116431927,0.2248466645516993,0.7699999999999999
8,1.1658615716572465,0.22724355329705387,0.7799999999999999
9,1.1637407654318317,0.22271081352175828,0.7599999999999999
10,1.1613441459063827,0.2197873736016743,0.7599999999999999
11,1.1582361233645473,0.2204669603837391,0.6749999999999999
12,1.156126288504436,0.22281651767381214,0.7599999999999999
