epoch,train_loss,validation_mcc,threshold
1,1.2383572993607357,0.16098818364121975,0.6749999999999999
2,1.1828711556977238,0.1623949947998129,0.8049999999999999
3,1.1754517925196681,0.17080420340301358,0.705
4,1.1716058285071933,0.17521170525317364,0.615
5,1.1697396779882496,0.18261351824517974,0.6399999999999999
6,1.1660285715399117,0.18594596659255755,0.6799999999999999
7,1.162660954327419,0.1764543092188373,0.7799999999999999
8,1.156090729195496,0.18121094768540938,0.6649999999999999
9,1.1545478043885067,0.18585431907350042,0.705
10,1.152504801750183,0.188379206391831,0.6549999999999999
11,1.1513936457962826,0.1889298962299898,0.61
12,1.1495419637910251,0.19120499240483319,0.6549999999999999
13,1.1490862277047387,0.18882727923420603,0.6399999999999999
14,1.14542067564767,0.18986931128914125,0.6499999999999999
15,1.1455693923193833,0.19078707608935966,0.7599999999999999
16,1.1429295817325855,0.19002483108240736,0.6749999999999999
