epoch,train_loss,validation_mcc,threshold
1,0.6973716616630554,0.0,0.05
2,0.6963033080101013,0.0,0.05
3,0.6948876678943634,0.03464794643376185,0.5249999999999999
4,0.6950364708900452,0.017197979012252743,0.5249999999999999
5,0.6945839822292328,0.017197979012252743,0.5249999999999999
6,0.6937567591667175,0.2057176443971225,0.5199999999999999
7,0.6933265626430511,0.09523809523809523,0.5199999999999999
8,0.6919729709625244,0.08292884288627293,0.5149999999999999
9,0.6922524273395538,0.18699392279626206,0.5149999999999999
10,0.6919777989387512,0.25908195902003417,0.5149999999999999
11,0.691927433013916,0.21645482913637396,0.5149999999999999
12,0.6912555992603302,0.21645482913637396,0.5149999999999999
13,0.6911963522434235,0.21645482913637396,0.5149999999999999
14,0.6908778846263885,0.21645482913637396,0.5149999999999999
15,0.6903703808784485,0.21645482913637396,0.5149999999999999
16,0.6904395520687103,0.21645482913637396,0.5149999999999999
17,0.6900545060634613,0.21645482913637396,0.5149999999999999
18,0.6898229420185089,0.21645482913637396,0.5149999999999999
