epoch,train_loss,validation_mcc,threshold
1,1.2331725441176316,0.19188309452078003,0.625
2,1.1804715795763607,0.19661429883813622,0.6849999999999999
3,1.1727889981763115,0.19614816817617822,0.7499999999999999
4,1.1704165503896515,0.1976566271057911,0.73
5,1.1694957901691567,0.1962010777186551,0.7649999999999999
6,1.1682139110976253,0.19204432469428948,0.7749999999999999
7,1.1680189227235729,0.19395057349195116,0.72
8,1.165353252969939,0.1977337795470805,0.725
9,1.1637804384889274,0.19556749203253349,0.735
10,1.1604440345846374,0.19605197875566813,0.715
11,1.1600107057341214,0.1981567123771923,0.725
12,1.1578843141424244,0.1956022106051901,0.74
13,1.1590087670704414,0.19336951079823084,0.705
14,1.1570683450534427,0.19291796443561815,0.7699999999999999
15,1.1566489801324646,0.19661429883813622,0.735
