,,mcc,mcc,auroc,auroc,f1,f1,balanced_accuracy,balanced_accuracy,average_precision,average_precision,brier,brier,validation_mcc,validation_mcc,weighted_to_bce_grad_ratio,weighted_to_bce_grad_ratio,physics_loss_raw,physics_loss_raw
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,lambda_el,,,,,,,,,,,,,,,,,,
SGCC,0.0,0.17915006432092312,0.020446234581465085,0.6726637524477712,0.017655057962572593,0.22110806838054575,0.047457742437773044,0.5769696681610897,0.032022184032897354,0.20514306913148275,0.014763473255320684,0.2191361784934997,0.007578444385777192,0.20382029529548698,0.015306777800940677,0.0,0.0,0.0050496493466198,0.0013763026977601008
SGCC,1e-06,0.17915006432092312,0.020446234581465085,0.6726632772317143,0.017654439186951795,0.22110806838054575,0.047457742437773044,0.5769696681610897,0.032022184032897354,0.20514306517061373,0.014763476756773104,0.2191361770033836,0.0075784358043354365,0.20382029529548698,0.015306777800940677,1.6329648245113635e-08,7.349340952855579e-09,0.00090829629334617,0.0005511759604573331
SGCC,1e-05,0.17915006432092315,0.020446234581465085,0.6726637841288416,0.01765510820836863,0.2211080683805458,0.047457742437773044,0.5769696681610897,0.032022184032897354,0.20514298454643637,0.01476355671365887,0.21913618296384813,0.00757844096183744,0.203820295295487,0.015306777800940686,1.6083313047053577e-07,6.632232308356381e-08,0.0005234872660366617,0.0003118857980690689
SGCC,0.0001,0.17915006432092317,0.020446234581465085,0.6726638633580143,0.0176550299026607,0.2211080683805458,0.04745774243777304,0.5769696681610897,0.032022184032897354,0.2051430256092957,0.014763577109700613,0.21913619190454484,0.0075784364809754765,0.203820295295487,0.015306777800940695,1.5804642908280058e-06,6.42886600379382e-07,0.0004963920029695146,0.0003096340651862051
SGCC,0.001,0.17915006432092317,0.020446234581465085,0.6726566718080117,0.01764057941836764,0.2211080683805458,0.04745774243777304,0.5769696681610897,0.032022184032897354,0.20514264521912887,0.01476313867423196,0.2191363275051117,0.007578387267515214,0.203820295295487,0.015306777800940695,1.4972126230297428e-05,5.83385774992873e-06,0.0004717354211607017,0.0002726514318519251
SGCC,0.01,0.1786998361449331,0.02119136312173746,0.6735115378139346,0.016716596533300914,0.221743421228288,0.046393283541915215,0.577165964073693,0.03176672232544315,0.20549138002481243,0.014339272349135115,0.21783778667449952,0.007029898657444301,0.20390171598400858,0.01534617836283244,0.0001428175210157067,5.6687320896441467e-05,0.00047409634717041624,0.0002511718293019183
SGCC,0.1,0.18061804216722765,0.022138669537596856,0.6741457584609372,0.017139512781872743,0.21870899980501263,0.043482189950605966,0.5732147801679304,0.029379028819246086,0.20586263813789518,0.014038907584543006,0.21735082268714906,0.007894597141494887,0.2049283894683827,0.01451017428561472,0.0014573998708730643,0.0005412108488162308,0.00047075326001504435,0.00025334150657370407
SGCC,1.0,0.17817466306386814,0.021376701678325324,0.6730595904037344,0.016614232772319677,0.21891481955811626,0.04292998320409759,0.5739988851825171,0.02891636781607721,0.20520231005901285,0.014307587547978206,0.2193293735384941,0.007619833515180539,0.20442665399127474,0.015297539051852554,0.013316715999464287,0.005699257486514986,0.0004370041817310266,0.00021817609753719687
