dataset,seed,lambda_el,threshold,precision,recall,specificity,f1,balanced_accuracy,mcc,auroc,average_precision,brier,ece,tn,fp,fn,tp,validation_mcc,best_epoch,training_seconds,inference_ms_per_sample,checkpoint_sha256,preprocessing,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
SGCC,11,0.0,0.8549999999999999,0.3703703703703703,0.0920810313075506,0.985377601926716,0.1474926253687315,0.5387293166171333,0.1501664523936571,0.6518217090733635,0.1876582438544871,0.2277568131685257,0.3801227002829557,5728,85,493,50,0.2101289214495146,5,21.66674961399997,0.0177726205160505,e13c2ad8067fc32a15f6055330c2e3bb0d146d8bdd3b4fee67158b6132d9391a,"{""mean"": 1.659198522567749, ""p995"": 4.9457292556762695, ""std"": 1.1075389385223389}",1.1396480798721311,0.0065612634643912,0.0,0.0378035381436347,0.0008705537184141,0.0,0.0,-0.0671391487121582
SGCC,23,0.0,0.6549999999999999,0.2448979591836734,0.2430939226519337,0.9299845174608636,0.243992606284658,0.5865392200563987,0.1736597350940182,0.6802372532005009,0.1933971178639055,0.2084066271781921,0.3558166289597731,5406,407,411,132,0.1912049924048331,12,26.046736098,0.036430609502831,4c86cc3af2cfae330e84c44160c8ec8a903b9e4f8ca339a4908d2023ea2fb7d5,"{""mean"": 1.661300778388977, ""p995"": 4.9457292556762695, ""std"": 1.1057639122009277}",1.150408148765564,0.006218047812581,0.0,0.2058930397033691,0.0028747711330652,0.0,0.0,0.2755347490310669
SGCC,37,0.0,0.57,0.199359487590072,0.4585635359116022,0.8279717873731292,0.2779017857142857,0.6432676616423657,0.2015645235844179,0.7061094409906797,0.2340333164653748,0.2147314548492431,0.3663705883956766,4813,1000,294,249,0.2046642472606851,13,36.74316807499997,0.0067566954059077,374d692e7abbcae793d43c01958d2a3bbeb767c5e69331f70c90fd5fbf99841b,"{""mean"": 1.6570286750793457, ""p995"": 4.910050392150879, ""std"": 1.1032549142837524}",1.1433850526809692,0.0038946552667766,0.0,0.0936241969466209,0.0025481760967522,0.0,0.0,0.2479758411645889
SGCC,53,0.0,0.7799999999999999,0.3917525773195876,0.1399631675874769,0.9797006709100292,0.2062415196743555,0.5598319192487531,0.1944470210335021,0.6852016769424218,0.2131333327381769,0.2135024517774582,0.3648861901678703,5695,118,467,76,0.2272435532970538,8,19.31153136799992,0.0072361386091911,4c888682b98fb76648218a3e9f1dec8f26b9faf9fcad8ceee86588567a896d6e,"{""mean"": 1.655530333518982, ""p995"": 4.9090375900268555, ""std"": 1.1081187725067139}",1.1022286415100098,0.0029462962411344,0.0,0.0867878720164299,0.0010991272283717,0.0,0.0,-0.0397263169288635
SGCC,71,0.0,0.72,0.3231707317073171,0.1952117863720073,0.9618097367968348,0.2433983926521239,0.578510761584421,0.1983972821571148,0.691641804946619,0.2171365951491849,0.2189531177282333,0.3734161170625027,5591,222,437,106,0.1987293170495821,6,15.228204858000026,0.0236794910320949,61bc8b19455b60b66db5948c4eb1661c6910687adaabf7a4160cf460004c4e58,"{""mean"": 1.6630699634552002, ""p995"": 4.93992280960083, ""std"": 1.106569528579712}",1.2431044578552246,0.0060127470642328,0.0,0.2390565127134323,0.0010916453320533,0.0,0.0,0.1538866609334945
SGCC,89,0.0,0.7799999999999999,0.3003300330033003,0.1675874769797421,0.9635300189231034,0.2151300236406619,0.5655587479514228,0.1720101487819534,0.6715512541110149,0.1936239110176053,0.2289087772369384,0.3837131899977871,5601,212,452,91,0.1862400423393041,6,15.090981876,0.0066300105412186,48b8ee0fb25cd0318501955ce92f5508b901c7d86b47acc012a9c2defdf48efa,"{""mean"": 1.6562169790267944, ""p995"": 4.927568435668945, ""std"": 1.1022279262542725}",1.2317265272140503,0.0058704474940896,0.0,0.0698354169726371,0.0010407483205199,0.0,0.0,0.0875922590494155
SGCC,107,0.0,0.6399999999999999,0.2795180722891566,0.2140221402214022,0.9485724114207086,0.2424242424242424,0.5812972758210554,0.1838185437602486,0.6617442374114143,0.2069451203865305,0.2098031491041183,0.3612168811266342,5515,299,426,116,0.2308714525771998,6,17.099294889999896,0.0046917407174371,451a0df4b5fc9dff2bd2e6159847e82880315a7b376d62ec37e92f2423e97fe1,"{""mean"": 1.6612826585769653, ""p995"": 4.9096879959106445, ""std"": 1.1027220487594604}",1.1790870428085327,0.0046276431530714,0.0,0.081235148012638,0.0009723085677251,0.0,0.0,-0.2255439311265945
SGCC,131,0.0,0.705,0.3021148036253776,0.1841620626151013,0.9602614828831928,0.2288329519450801,0.572211772749147,0.1816960793526366,0.6634505627983763,0.1964303276854873,0.2186960726976394,0.3745084534638929,5582,231,443,100,0.2029962969914153,5,12.869604191000008,0.0054518302391438,68102ef99f22f456dc8db93e44b4313ffde61ae41c229091e284e710432bda80,"{""mean"": 1.65463387966156, ""p995"": 4.932785511016846, ""std"": 1.1015292406082153}",1.2113293409347534,0.0032088255975395,0.0,0.0350357182323932,0.0005338793271221,0.0,0.0,0.1465569585561752
SGCC,149,0.0,0.625,0.2403433476394849,0.3093922651933701,0.9086530190951316,0.2705314009661835,0.6090226421442508,0.1948117275334728,0.6553557324837738,0.2160044271396081,0.2282557785511016,0.382746355217759,5282,531,375,168,0.187518391171696,5,15.64556358099992,0.0051541784141035,482546b102914b6affe87c5ee9cc56440209475421f4ee3ef1d3d26afae41529,"{""mean"": 1.6593199968338013, ""p995"": 4.9356303215026855, ""std"": 1.1055059432983398}",1.1857168674468994,0.0046003400348126,0.0,0.0462872684001922,0.0007681380375288,0.0,0.0,-0.5045554041862488
SGCC,173,0.0,0.82,0.3658536585365853,0.0828729281767955,0.986581799415104,0.1351351351351351,0.5347273637959498,0.1409291295182098,0.659523852519548,0.193068299014467,0.222347542643547,0.3793707370917477,5735,78,498,45,0.1986057384135859,2,9.035696389000009,0.0052441005349275,3605473410f60ae31abf4e494b1cd3d16b36ea1d803b388d182b4aceaf08ef48,"{""mean"": 1.6609737873077393, ""p995"": 4.925848007202148, ""std"": 1.1032264232635498}",1.15974760055542,0.0065562273375689,0.0,0.0220007300376892,0.0009275020565837,0.0,0.0,-0.1740515530109405
SGCC,11,1e-06,0.8549999999999999,0.3703703703703703,0.0920810313075506,0.985377601926716,0.1474926253687315,0.5387293166171333,0.1501664523936571,0.6518217090733635,0.1876582438544871,0.2277568131685257,0.3801227002829557,5728,85,493,50,0.2101289214495146,5,14.04549304200009,0.0089873864065519,da2e328769539f9626cc672f1c58bc8c7a092ff72312aeac8d6ad8dcc3083125,"{""mean"": 1.659198522567749, ""p995"": 4.9457292556762695, ""std"": 1.1075389385223389}",1.1396480798721311,0.0007587379659526,7.58737965952605e-10,0.037803541868925,0.000683371676132,6.833716761320828e-10,1.8076921958834277e-08,0.2855790853500366
SGCC,23,1e-06,0.6549999999999999,0.2448979591836734,0.2430939226519337,0.9299845174608636,0.243992606284658,0.5865392200563987,0.1736597350940182,0.6802370947951486,0.1933970782552156,0.2084066271781921,0.355816626793525,5406,407,411,132,0.1912049924048331,12,22.560068029000035,0.0061323396790318,f82cc06187b5b78d74cae47d9c18fdbce1d9120fa361bad47800913b919886fe,"{""mean"": 1.661300778388977, ""p995"": 4.9457292556762695, ""std"": 1.1057639122009277}",1.1504082679748535,0.0011766981333494,1.1766981333494183e-09,0.2058929949998855,0.0026976130902767,2.697613090276718e-09,1.3102014909629236e-08,0.2563110888004303
SGCC,37,1e-06,0.57,0.199359487590072,0.4585635359116022,0.8279717873731292,0.2779017857142857,0.6432676616423657,0.2015645235844179,0.7061094409906797,0.2340333164653748,0.2147314548492431,0.3663705883956766,4813,1000,294,249,0.2046642472606851,13,26.58698106600002,0.0054182880742562,8001daf76515646ef797d2eadb0a01745ae1f4dfd706843c88cafaa83d4171b2,"{""mean"": 1.6570286750793457, ""p995"": 4.910050392150879, ""std"": 1.1032549142837524}",1.1433850526809692,0.0011644508922472,1.1644508922472596e-09,0.0936241745948791,0.0025268855970352,2.5268855970352887e-09,2.6989670221065947e-08,0.07845488935709
SGCC,53,1e-06,0.7799999999999999,0.3917525773195876,0.1399631675874769,0.9797006709100292,0.2062415196743555,0.5598319192487531,0.1944470210335021,0.6852018353477742,0.2131333327381769,0.2135024815797805,0.364886199690922,5695,118,467,76,0.2272435532970538,8,17.551940891999948,0.0058765045626296,1df0e99272639d3a065a6b48816f20c0f85642d4734067fbe93880bec4407044,"{""mean"": 1.655530333518982, ""p995"": 4.9090375900268555, ""std"": 1.1081187725067139}",1.1022286415100098,0.0006349931354634,6.349931354634462e-10,0.0867878422141075,0.001116111408919,1.1161114089190959e-09,1.2860227659141757e-08,-0.1524726897478103
SGCC,71,1e-06,0.72,0.3231707317073171,0.1952117863720073,0.9618097367968348,0.2433983926521239,0.578510761584421,0.1983972821571148,0.6916367359753446,0.2171365951491849,0.2189531177282333,0.3734161170625027,5591,222,437,106,0.1987293170495821,6,13.930817062000074,0.0166331573316515,7ac9411e6e6540ea1dfab47be73aa4a12ece57a009df866aeac0b59e2ec0b24a,"{""mean"": 1.6630699634552002, ""p995"": 4.93992280960083, ""std"": 1.106569528579712}",1.2431044578552246,0.0006245169206522,6.245169206522405e-10,0.2390565127134323,0.0008709155372343,8.709155372343957e-10,3.643136626352451e-09,-0.3335121572017669
SGCC,89,1e-06,0.7799999999999999,0.3003300330033003,0.1675874769797421,0.9635300189231034,0.2151300236406619,0.5655587479514228,0.1720101487819534,0.6715514125163673,0.1936239110176053,0.2289087623357772,0.3837131899977871,5601,212,452,91,0.1862400423393041,6,17.062703478000003,0.0103673510069134,a617b1ec43be58db8245af1432228bde1b8291f5770e9f9c61d7086f107f516e,"{""mean"": 1.6562169790267944, ""p995"": 4.927568435668945, ""std"": 1.1022279262542725}",1.2317265272140503,0.0006416942924261,6.416942924261092e-10,0.0698354318737983,0.0010135688353329,1.0135688353329895e-09,1.4513676054365056e-08,-0.4163520038127899
SGCC,107,1e-06,0.6399999999999999,0.2795180722891566,0.2140221402214022,0.9485724114207086,0.2424242424242424,0.5812972758210554,0.1838185437602486,0.6617442374114144,0.2069451203865305,0.2098031491041183,0.3612168811266342,5515,299,426,116,0.2308714525771998,6,13.845498034999991,0.0058925248583954,5c079804f95da348031845ff9b57d1654d9cdca0e33a8465d2ee39426f262b49,"{""mean"": 1.6612826585769653, ""p995"": 4.9096879959106445, ""std"": 1.1027220487594604}",1.1790870428085327,0.0005835859919898,5.835859919898212e-10,0.0812351182103157,0.00100702943746,1.0070294374600052e-09,1.2396479006195706e-08,-0.4591816067695617
SGCC,131,1e-06,0.705,0.3021148036253776,0.1841620626151013,0.9602614828831928,0.2288329519450801,0.572211772749147,0.1816960793526366,0.6634505627983762,0.1964303276854873,0.2186960726976394,0.3745084534638929,5582,231,443,100,0.2029962969914153,5,14.203561956000044,0.0071237726557483,8bcb9730a71a5423f3a7cc8a42c9e40e4acdd474a356299dcbd3f5bd1dc36104,"{""mean"": 1.65463387966156, ""p995"": 4.932785511016846, ""std"": 1.1015292406082153}",1.2113293409347534,0.0004330340889282,4.3303408892825245e-10,0.0350357331335544,0.0005831683520227,5.831683520227671e-10,1.6644959299117805e-08,0.1733874380588531
SGCC,149,1e-06,0.625,0.2403433476394849,0.3093922651933701,0.9086530190951316,0.2705314009661835,0.6090226421442508,0.1948117275334728,0.655355890889126,0.2160044271396081,0.2282557487487793,0.3827463487940363,5282,531,375,168,0.187518391171696,5,13.532270498999992,0.0070010220264254,78efd436b86c0b8850397501c713bcce61b49a24f4dd7be86ffbe9d6259f4ec3,"{""mean"": 1.6593199968338013, ""p995"": 4.9356303215026855, ""std"": 1.1055059432983398}",1.1857168674468994,0.0007461956702172,7.461956702172754e-10,0.0462872609496116,0.0007323031313717,7.323031313717364e-10,1.5820835287033337e-08,-0.5107713937759399
SGCC,173,1e-06,0.82,0.3658536585365853,0.0828729281767955,0.986581799415104,0.1351351351351351,0.5347273637959498,0.1409291295182098,0.6595238525195479,0.193068299014467,0.222347542643547,0.3793707370917477,5735,78,498,45,0.1986057384135859,2,8.403437138999948,0.0072668802706137,7c9d1f7a0dd75d3828fab277fe1f790779a0ad88065dac85c4199ad7071e18fd,"{""mean"": 1.6609737873077393, ""p995"": 4.925848007202148, ""std"": 1.1032264232635498}",1.15974760055542,0.0023190558422356,2.319055842235684e-09,0.022000728175044,0.0006434896495193,6.434896495193242e-10,2.9248561429400764e-08,-0.412544310092926
SGCC,11,1e-05,0.8549999999999999,0.3703703703703703,0.0920810313075506,0.985377601926716,0.1474926253687315,0.5387293166171333,0.1501664523936571,0.6518213922626589,0.1876576905916434,0.2277568131685257,0.3801226958941933,5728,85,493,50,0.2101289214495146,5,12.976349298999937,0.0065820409062282,e13fdecb4bc8b266d2cea2ddc431184415fa2c8e1549e8e8e8d2264655869c10,"{""mean"": 1.659198522567749, ""p995"": 4.9457292556762695, ""std"": 1.1075389385223389}",1.1396480798721311,0.000311000883812,3.110008838120848e-09,0.0378035306930542,0.0006857437547296,6.857437547296286e-09,1.813967484406485e-07,0.2699112594127655
SGCC,23,1e-05,0.6549999999999999,0.2448979591836734,0.2430939226519337,0.9299845174608636,0.243992606284658,0.5865392200563987,0.1736597350940182,0.6802375700112056,0.1933971612004628,0.2084066271781921,0.3558166382812043,5406,407,411,132,0.1912049924048331,12,23.972119004999968,0.0127362778477118,d7d9152271cc20e5f3795a86800bd6c977a8b62492d9bb10ebd1b384cf88c615,"{""mean"": 1.661300778388977, ""p995"": 4.9457292556762695, ""std"": 1.1057639122009277}",1.150408148765564,0.0010838815942406,1.0838815942406656e-08,0.2058929353952407,0.0026781312189996,2.6781312189996243e-08,1.30073973342435e-07,0.25847327709198
SGCC,37,1e-05,0.57,0.199359487590072,0.4585635359116022,0.8279717873731292,0.2779017857142857,0.6432676616423657,0.2015645235844179,0.7061094409906797,0.2340333164653748,0.2147314697504043,0.3663706280586478,4813,1000,294,249,0.2046642472606851,13,28.172374354,0.00928917039018,7744114f6d6394dd1ed7d9a2446f4be612b2ac89ee7da92649d4ca3e87ed7d87,"{""mean"": 1.6570286750793457, ""p995"": 4.910050392150879, ""std"": 1.1032549142837524}",1.1433850526809692,0.001096298918128,1.0962989181280137e-08,0.0936243385076522,0.0025145318359136,2.5145318359136583e-08,2.685767265216123e-07,0.073018305003643
SGCC,53,1e-05,0.7799999999999999,0.3917525773195876,0.1399631675874769,0.9797006709100292,0.2062415196743555,0.5598319192487531,0.1944470210335021,0.6852016769424218,0.2131333327381769,0.2135024815797805,0.3648862136871355,5695,118,467,76,0.2272435532970538,8,19.319093477000024,0.0061653030208,927a17ddd49cd92ec0470ce356050a7e5c33a0dde0dff0b702e61d7feb2956c5,"{""mean"": 1.655530333518982, ""p995"": 4.9090375900268555, ""std"": 1.1081187725067139}",1.1022286415100098,0.0005613227258436,5.613227258436382e-09,0.0867878049612045,0.0011053720954805,1.1053720954805614e-08,1.273649098481843e-07,-0.153250515460968
SGCC,71,1e-05,0.72,0.3231707317073171,0.19521178637200737,0.9618097367968347,0.24339839265212398,0.578510761584421,0.19839728215711488,0.6916419633519715,0.21713659514918493,0.21895311772823334,0.3734161170625027,5591,222,437,106,0.19872931704958216,6,18.039265749999913,0.009952094870993883,fed7d639a7c7b6cd4adad6c0ff50d13d04a56b7df436b958c401e8f6f2b093db,"{""mean"": 1.6630699634552002, ""p995"": 4.93992280960083, ""std"": 1.106569528579712}",1.2431044578552246,0.00038337428122758865,3.833742812275887e-09,0.2390565127134323,0.0008799407514743507,8.799407514743508e-09,3.680890102036981e-08,-0.3607533872127533
SGCC,89,1e-05,0.7799999999999999,0.30033003300330036,0.16758747697974216,0.9635300189231034,0.21513002364066194,0.5655587479514228,0.17201014878195345,0.6715510957056626,0.19362391101760537,0.22890877723693848,0.3837131988597111,5601,212,452,91,0.18624004233930413,6,18.675147258999914,0.010117929515431619,bd235c9e52709b3ccc3a2e9d41541c6e5279e164d54b0bf54c604262ab68001e,"{""mean"": 1.6562169790267944, ""p995"": 4.927568435668945, ""std"": 1.1022279262542725}",1.2317265272140503,0.0004289004427846521,4.289004427846522e-09,0.06983533501625061,0.0010525675024837255,1.0525675024837256e-08,1.5072133644648432e-07,-0.4498574137687683
SGCC,107,1e-05,0.6399999999999999,0.27951807228915665,0.2140221402214022,0.9485724114207086,0.24242424242424243,0.5812972758210554,0.18381854376024861,0.6617442374114143,0.2069451203865305,0.20980314910411835,0.36121688112663425,5515,299,426,116,0.23087145257719988,6,17.896079766000184,0.007752841095050877,efbde7170b6c45433feb3c6fd994dc25442e721d06e1db21fc5b71676f23c957,"{""mean"": 1.6612826585769653, ""p995"": 4.9096879959106445, ""std"": 1.1027220487594604}",1.1790871620178223,0.00042018614476546645,4.201861447654665e-09,0.08123508840799332,0.001011942862533033,1.011942862533033e-08,1.2456967578476355e-07,-0.46260663866996765
