epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2461752316047405,0.19465944237515936,0.615,1.2218341827392578,0.00014679944433737546,1.4679944433737548e-08,0.03658513352274895,0.0003869547217618674,3.869547217618674e-08,1.05768295616922e-06,0.23881518840789795
2,1.1942277252674103,0.19496124121354783,0.71,1.2206921577453613,0.00014141884457785636,1.4141884457785636e-08,0.1596321314573288,0.000442775955889374,4.4277595588937404e-08,2.773727017531757e-07,0.6206785440444946
3,1.1850621946926774,0.1977337795470805,0.6749999999999999,1.2137500047683716,0.00015634966257493943,1.5634966257493943e-08,0.04358676075935364,0.0004922703956253827,4.922703956253827e-08,1.1294034864009535e-06,0.3583938777446747
4,1.1827607874212593,0.20292055403869194,0.715,1.211711049079895,0.00018613130669109523,1.8613130669109525e-08,0.05305953323841095,0.0005554929375648499,5.554929375648499e-08,1.0469239053967336e-06,0.5163806676864624
5,1.1812748230736831,0.20299629699141536,0.705,1.2113293409347534,0.00020532375492621213,2.0532375492621215e-08,0.03503573313355446,0.000602926011197269,6.02926011197269e-08,1.7208888105721813e-06,0.1409856230020523
6,1.1787551456484302,0.20060597859822907,0.705,1.208446979522705,0.0002489786420483142,2.4897864204831422e-08,0.021620236337184906,0.0006971576949581504,6.971576949581505e-08,3.224560934882569e-06,-0.06995681673288345
7,1.1766302246471931,0.2007346995892221,0.73,1.2097150087356567,0.00030807085568085313,3.0807085568085314e-08,0.0906919464468956,0.0008143059676513076,8.143059676513076e-08,8.97881233730188e-07,0.4002489149570465
8,1.1717979897712838,0.1935240883929714,0.57,1.2059887647628784,0.00039859674870967865,3.9859674870967865e-08,0.07240550220012665,0.0009643672383390367,9.643672383390368e-08,1.3318977274317558e-06,0.3384906053543091
9,1.168004657687812,0.19060604367367434,0.5099999999999999,1.205201268196106,0.0004955066833645105,4.9550668336451054e-08,0.0519493892788887,0.001151381991803646,1.1513819918036462e-07,2.216353277268549e-06,-0.5613301992416382
