epoch,train_loss,validation_mcc,threshold
1,0.7456117570400238,0.23542068319747259,0.4549999999999999
2,0.7289503216743469,0.2120953174306601,0.4149999999999999
3,0.711283951997757,0.22715542521212734,0.38499999999999995
4,0.6978305876255035,0.19810145392326536,0.36999999999999994
5,0.695155680179596,0.23280223035107195,0.35999999999999993
6,0.6902403235435486,0.2100634068221088,0.35999999999999993
7,0.6941120326519012,0.17608108170274547,0.36499999999999994
8,0.6905374228954315,0.23655309301829208,0.37999999999999995
9,0.6886855959892273,0.20085883379503597,0.48499999999999993
10,0.68744295835495,0.20085883379503597,0.48999999999999994
11,0.6854227185249329,0.20478889182363452,0.5149999999999999
12,0.6863149106502533,0.23099715105270544,0.5099999999999999
13,0.6842634081840515,0.23883520159542387,0.5249999999999999
14,0.6830326020717621,0.26082026547865056,0.5299999999999999
15,0.684569925069809,0.26082026547865056,0.5299999999999999
16,0.683927446603775,0.26082026547865056,0.5299999999999999
17,0.6817989349365234,0.26082026547865056,0.5249999999999999
18,0.680568277835846,0.2498918638298819,0.5249999999999999
19,0.6797072887420654,0.26082026547865056,0.5199999999999999
20,0.6790383458137512,0.2498918638298819,0.5199999999999999
21,0.6783678829669952,0.26082026547865056,0.5149999999999999
22,0.6758827269077301,0.26082026547865056,0.5149999999999999
