epoch,train_loss,validation_mcc,threshold
1,0.6950344145298004,0.09206542351627228,0.5349999999999999
2,0.6942507028579712,0.10820574234403926,0.5349999999999999
3,0.6947744488716125,0.10994987428338562,0.5249999999999999
4,0.6930799782276154,0.12531595371053228,0.5199999999999999
5,0.6926941275596619,0.10540925533894598,0.5449999999999999
6,0.6918788552284241,0.1846372364689991,0.5449999999999999
7,0.6919858157634735,0.11462410798513052,0.5099999999999999
8,0.6910588145256042,0.16807316136320358,0.5499999999999999
9,0.6911882162094116,0.13552618543578768,0.5049999999999999
10,0.6916722655296326,0.16807316136320358,0.5549999999999999
11,0.6900455951690674,0.10820574234403926,0.5349999999999999
12,0.6897992491722107,0.16807316136320358,0.5599999999999999
13,0.6897284388542175,0.14990633779917228,0.565
14,0.6890417039394379,0.1846372364689991,0.565
