epoch,train_loss,validation_mcc,threshold
1,0.6950551867485046,0.0,0.05
2,0.6948680877685547,0.0,0.05
3,0.6941198110580444,0.0,0.05
4,0.6932913959026337,0.13793431476706133,0.48499999999999993
5,0.692646861076355,0.1846372364689991,0.48999999999999994
6,0.6918735206127167,0.18123858497615616,0.48999999999999994
7,0.6916896402835846,0.22808577638091165,0.49499999999999994
8,0.6912678778171539,0.17557911458287687,0.49499999999999994
9,0.69052654504776,0.22808577638091165,0.49999999999999994
10,0.6902797520160675,0.28322059201851035,0.49999999999999994
11,0.6897671818733215,0.22808577638091165,0.5049999999999999
12,0.6890378594398499,0.2773500981126146,0.5049999999999999
13,0.6889189183712006,0.22808577638091165,0.5099999999999999
14,0.6885792911052704,0.2656844656620286,0.5099999999999999
15,0.6883540153503418,0.22808577638091165,0.5149999999999999
16,0.6872810125350952,0.24112141108520604,0.5149999999999999
17,0.6871426105499268,0.25362863675089403,0.5149999999999999
18,0.6860319674015045,0.28867513459481287,0.5149999999999999
19,0.6858757138252258,0.22808577638091165,0.5199999999999999
20,0.6834787130355835,0.24112141108520604,0.5199999999999999
21,0.6844277381896973,0.25362863675089403,0.5199999999999999
22,0.6833342015743256,0.2773500981126146,0.5199999999999999
23,0.6836312711238861,0.2773500981126146,0.5199999999999999
24,0.6826717555522919,0.28867513459481287,0.5199999999999999
25,0.6824741065502167,0.2997004492513102,0.5199999999999999
26,0.6820791959762573,0.2997004492513102,0.5199999999999999
27,0.6813020706176758,0.28867513459481287,0.5199999999999999
28,0.6778632700443268,0.28322059201851035,0.5149999999999999
29,0.6762591302394867,0.2997004492513102,0.5149999999999999
30,0.6772059798240662,0.30338993810845893,0.5099999999999999
31,0.6776506006717682,0.3104602102825332,0.5099999999999999
32,0.6769624352455139,0.30547686060781526,0.5049999999999999
33,0.6739148497581482,0.30547686060781526,0.49999999999999994
34,0.6739209592342377,0.3312945782245396,0.49499999999999994
35,0.6773470044136047,0.3209833376209784,0.48999999999999994
36,0.6752528846263885,0.34141531479696996,0.4799999999999999
37,0.6744586825370789,0.3312945782245396,0.4749999999999999
38,0.6750759184360504,0.3312945782245396,0.4699999999999999
39,0.6744513511657715,0.34141531479696996,0.4649999999999999
40,0.6707332730293274,0.3246172270321178,0.4599999999999999
