epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2455744270620674,0.19649924849291975,0.6549999999999999,1.1901236772537231,0.00020036398200318217,2.003639820031822e-06,0.07364268600940704,0.00037037034053355455,3.7037034053355455e-06,5.029288862253664e-05,-0.24146701395511627
2,1.1849536710772022,0.20303526978318007,0.7799999999999999,1.154430866241455,0.0001701975561445579,1.7019755614455789e-06,0.1384500116109848,0.0004482562653720379,4.482562653720379e-06,3.237675895842775e-05,-0.6026401519775391
3,1.1753282423677116,0.20368514161110357,0.845,1.14454185962677,0.00021449147607199848,2.144914760719985e-06,0.058681078255176544,0.0005227159126661718,5.227159126661718e-06,8.907742124183966e-05,-0.5570050477981567
4,1.1721013733025254,0.20719136394800103,0.825,1.1431465148925781,0.0002677963057067245,2.6779630570672453e-06,0.04166969656944275,0.0006164444494061172,6.164444494061172e-06,0.0001479359103032607,-0.4119260609149933
5,1.1697904323709423,0.21012892144951467,0.8549999999999999,1.1396478414535522,0.00029864846146665514,2.9864846146665514e-06,0.03782479465007782,0.000655639567412436,6.55639567412436e-06,0.00017333592250211652,0.2560403645038605
6,1.1681218116447842,0.20773265189430448,0.8599999999999999,1.1411184072494507,0.00033844317658804357,3.3844317658804358e-06,0.14335353672504425,0.0007046365644782782,7.0463656447827816e-06,4.91537621307376e-05,0.3194557726383209
7,1.1675744508874828,0.20645136097291794,0.8699999999999999,1.137311339378357,0.0003815051750279963,3.815051750279963e-06,0.05107514560222626,0.0007814384298399091,7.814384298399091e-06,0.00015299778798982962,-0.2171085625886917
8,1.162954142381405,0.21094312833473036,0.815,1.1353696584701538,0.00044960714876651764,4.496071487665176e-06,0.06008128076791763,0.0008608801290392876,8.608801290392877e-06,0.00014328591501980477,-0.24886922538280487
9,1.1586457922540863,0.2053276027101404,0.7699999999999999,1.1406364440917969,0.0005595909897238016,5.595909897238016e-06,0.13972052931785583,0.0010025275405496359,1.002527540549636e-05,7.175234344188218e-05,-0.263651043176651
10,1.1556052791661229,0.20480508367162562,0.7899999999999999,1.138253927230835,0.0006478230934590101,6.4782309345901014e-06,0.11458054929971695,0.0011485005961731076,1.1485005961731076e-05,0.0001002352147194624,-0.046223655343055725
11,1.1531198846882786,0.2047233021563729,0.845,1.136791467666626,0.000701061449944973,7.01061449944973e-06,0.05558226630091667,0.0011941770790144801,1.1941770790144801e-05,0.00021484857644150893,-0.18222679197788239
12,1.1515261335619564,0.2063779826148542,0.8549999999999999,1.1358416080474854,0.000721191696356982,7.21191696356982e-06,0.10815713554620743,0.0012421500869095325,1.2421500869095326e-05,0.00011484679957882714,-0.07725752890110016
