epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2455565025066506,0.19649924849291975,0.6549999999999999,1.190123438835144,0.00024735729675740004,2.4735729675740006e-08,0.07363999634981155,0.0003810399502981454,3.8103995029814544e-08,5.174361341465772e-07,-0.21695095300674438
2,1.1849513238873974,0.20303526978318007,0.7799999999999999,1.1544283628463745,0.000172876549186185,1.7287654918618502e-08,0.13842301070690155,0.0004565211711451411,4.5652117114514115e-08,3.298015039651061e-07,-0.6161890625953674
3,1.1753254430047397,0.20368514161110357,0.845,1.144540786743164,0.00021863443544134498,2.18634435441345e-08,0.05865873396396637,0.0005342939402908087,5.342939402908087e-08,9.108514694828252e-07,-0.570045530796051
4,1.1720980231104225,0.20719136394800103,0.825,1.1431465148925781,0.00027374824276193976,2.7374824276193977e-08,0.04166054725646973,0.0006309518357738853,6.309518357738853e-08,1.514506835183018e-06,-0.4151957929134369
5,1.16978644502574,0.21012892144951467,0.8549999999999999,1.1396480798721313,0.00030730507569387555,3.0730507569387555e-08,0.03780379891395569,0.0006758484523743391,6.758484523743391e-08,1.7877791962459155e-06,0.2566242814064026
6,1.168116842878276,0.20773265189430448,0.8599999999999999,1.1411172151565552,0.00035025260876864195,3.50252608768642e-08,0.14324726164340973,0.0007316347328014672,7.316347328014672e-08,5.107495420210897e-07,0.3044283986091614
7,1.1675670568285317,0.20645136097291794,0.8699999999999999,1.1373119354248047,0.0004003338108304888,4.0033381083048885e-08,0.051047127693891525,0.0008226995123550296,8.226995123550297e-08,1.6116470201583482e-06,-0.19159278273582458
8,1.162943735204894,0.20990966754783555,0.815,1.1353697776794434,0.0004802604380529374,4.8026043805293744e-08,0.060056015849113464,0.0009226647671312094,9.226647671312094e-08,1.5363402884555979e-06,-0.19530360400676727
9,1.1586312898274125,0.2053276027101404,0.7699999999999999,1.140636682510376,0.0006127906963229179,6.127906963229179e-08,0.1396665722131729,0.0011133661027997732,1.1133661027997733e-07,7.971600399130896e-07,-0.18434280157089233
