epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2461751740554283,0.19465944237515936,0.615,1.2218341827392578,0.00027276499895378947,2.727649989537895e-09,0.036585114896297455,0.0003821934515144676,3.821934515144676e-09,1.0446692667163032e-07,0.16861774027347565
2,1.1942277519867337,0.19496124121354783,0.71,1.2206921577453613,0.00015163590433076024,1.5163590433076024e-09,0.1596321016550064,0.0004404314677231014,4.404314677231014e-09,2.759040713972136e-08,0.61952143907547
3,1.1850621885266797,0.1977337795470805,0.6749999999999999,1.2137500047683716,0.0001574154302943498,1.574154302943498e-09,0.04358678311109543,0.0004920417559333146,4.920417559333146e-09,1.1288783452524642e-07,0.36039385199546814
4,1.1827607874212593,0.20292055403869194,0.715,1.2117109298706055,0.00018658334738574922,1.865833473857492e-09,0.05305948853492737,0.0005565746687352657,5.565746687352658e-09,1.048963501351677e-07,0.5171241760253906
5,1.1812748086863551,0.20299629699141536,0.705,1.2113293409347534,0.00020589379710145295,2.0589379710145298e-09,0.03503572195768356,0.0006042480817995965,6.042480817995966e-09,1.7246628527575725e-07,0.14208677411079407
6,1.1787551394824325,0.20060597859822907,0.705,1.208446979522705,0.0002497415407560766,2.497415407560766e-09,0.02162022702395916,0.0006998163880780339,6.9981638807803395e-09,3.2368595727626245e-07,-0.07042583078145981
7,1.1766302184811954,0.2007346995892221,0.73,1.2097150087356567,0.0003093284321948886,3.093284321948886e-09,0.09069191664457321,0.0008173785754479468,8.173785754479469e-09,9.012694909197917e-08,0.40134501457214355
8,1.1717979712732907,0.1935240883929714,0.57,1.2059886455535889,0.00040075156721286476,4.007515672128648e-09,0.07240543514490128,0.0009691585437394679,9.69158543739468e-09,1.338516289281241e-07,0.33995282649993896
9,1.168004625830157,0.19060604367367434,0.5099999999999999,1.205201268196106,0.0004990839515812695,4.9908395158126956e-09,0.05194929987192154,0.0011583821615204215,1.1583821615204216e-08,2.2298320947084102e-07,-0.5617654919624329
