epoch,train_loss,validation_mcc,threshold
1,1.2411471954707443,0.188726481613691,0.6
2,1.1899672952191582,0.19792967035133394,0.73
3,1.1737996853631119,0.19523137646087502,0.8499999999999999
4,1.1660965033646287,0.20163536069422938,0.5249999999999999
5,1.1647513683499962,0.20365552237932036,0.695
6,1.1632311231103436,0.20145811483052867,0.5399999999999999
7,1.1612870970676685,0.2042316694908874,0.735
8,1.1602850206967057,0.20489432422944057,0.73
9,1.1614201747137924,0.20172190098909934,0.63
10,1.1587980266275077,0.20224000350351698,0.6849999999999999
11,1.1594406191644997,0.19935895248232635,0.7449999999999999
12,1.1557443820197006,0.20188838446014098,0.7
