epoch,train_loss,validation_mcc,threshold
1,1.2410009791111123,0.16038965803471608,0.6
2,1.184899596304729,0.16225718313813964,0.7949999999999999
3,1.174437374904238,0.1712244585875131,0.74
4,1.170252616035527,0.17701398169767582,0.595
5,1.1674109306828728,0.18127295964247722,0.62
6,1.1617774840058952,0.1813662106746087,0.6499999999999999
7,1.157983042042831,0.18119578894235813,0.635
8,1.1523170964471225,0.18666470104235477,0.62
9,1.1517849842022205,0.18972362449326646,0.71
10,1.1497333656097282,0.19009506849788457,0.69
11,1.1487754367548844,0.1902858559687877,0.7499999999999999
12,1.147748280188133,0.19287022153873531,0.62
13,1.1475361195103875,0.19079154220412456,0.635
14,1.1436622111961758,0.19174133193667078,0.6549999999999999
15,1.144919674972008,0.1918559966016718,0.7549999999999999
16,1.1425302891895688,0.19188309452078003,0.7749999999999999
