epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.242275727206263,0.20922765064251778,0.6399999999999999,1.1289817094802856,0.00015549852105323225,1.5549852105323225e-07,0.1004294753074646,0.0004008796240668744,4.008796240668744e-07,3.9916530763461865e-06,-0.3331179916858673
2,1.1942412555217743,0.21870223005326658,0.735,1.1154272556304932,0.00018749135779216886,1.8749135779216887e-07,0.07895665615797043,0.0005031449836678803,5.031449836678803e-07,6.372420111880452e-06,-0.45474132895469666
3,1.1838234149176499,0.2211501412460821,0.7499999999999999,1.1094106435775757,0.0002308014954905957,2.308014954905957e-07,0.06406480818986893,0.0005776026519015431,5.776026519015432e-07,9.015911671657577e-06,-0.21643774211406708
4,1.1794421981120933,0.22487146405596467,0.825,1.1067020893096924,0.0002869208110496402,2.8692081104964016e-07,0.0931217148900032,0.0006749804015271366,6.749804015271366e-07,7.2483673901885694e-06,0.056733209639787674
5,1.1758436375650867,0.22329385738131793,0.7799999999999999,1.1012754440307617,0.0003639443020801991,3.6394430208019915e-07,0.08408627659082413,0.0008102835854515433,8.102835854515434e-07,9.636335657892184e-06,0.1874430626630783
6,1.1715944018857232,0.22681919008927237,0.8099999999999999,1.1031378507614136,0.0004016626626253128,4.016626626253128e-07,0.15852074325084686,0.0008509872131980956,8.509872131980956e-07,5.368301937945584e-06,0.24240541458129883
7,1.1676922173335635,0.2248466645516993,0.7699999999999999,1.107236385345459,0.0004908048431389034,4.908048431389034e-07,0.13026131689548492,0.000986404367722571,9.864043677225708e-07,7.5725041879778605e-06,0.13145489990711212
8,1.1658627267541557,0.22724355329705387,0.7799999999999999,1.102228045463562,0.0005297951865941286,5.297951865941286e-07,0.08678310364484787,0.001026142155751586,1.026142155751586e-06,1.1824215920543491e-05,-0.18099087476730347
9,1.163742600843824,0.22271081352175828,0.7599999999999999,1.110676884651184,0.0006657858612015843,6.657858612015843e-07,0.12760013341903687,0.001327355275861919,1.327355275861919e-06,1.0402459937113897e-05,0.09973326325416565
10,1.1613464519895356,0.2197873736016743,0.7599999999999999,1.1120154857635498,0.0008353574085049331,8.353574085049331e-07,0.18170413374900818,0.0017684862250462174,1.7684862250462175e-06,9.732779263509026e-06,0.21613135933876038
11,1.1582379669978702,0.2204669603837391,0.6749999999999999,1.112914800643921,0.0010089217685163021,1.0089217685163021e-06,0.2720988988876343,0.002723893616348505,2.723893616348505e-06,1.0010674896091225e-05,0.2443838268518448
12,1.1561279019405102,0.22281651767381214,0.7599999999999999,1.1029324531555176,0.0008907343144528568,8.907343144528568e-07,0.38612911105155945,0.0018698286730796099,1.8698286730796099e-06,4.842495993082307e-06,-0.32823190093040466
