epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2427517340101044,0.20922765064251778,0.6399999999999999,1.1289712190628052,0.00015315628843382,0.00015315628843382,0.10033746808767319,0.00039628377999179065,0.00039628377999179065,0.003949509465851027,-0.338086873292923
2,1.1944527595207608,0.21870223005326658,0.735,1.1155260801315308,0.00018191493290942162,0.00018191493290942162,0.07914768159389496,0.0004923859378322959,0.0004923859378322959,0.006221103738182977,-0.45987728238105774
3,1.184123890153293,0.2211501412460821,0.7499999999999999,1.1095266342163086,0.0002206084900535643,0.0002206084900535643,0.0637788474559784,0.0005596574628725648,0.0005596574628725648,0.00877496984025704,-0.22199097275733948
4,1.179834300074084,0.22487146405596467,0.825,1.1068413257598877,0.0002699029864743352,0.0002699029864743352,0.09256517887115479,0.000646510103251785,0.000646510103251785,0.006984376966976844,0.0650734081864357
5,1.1763845887677422,0.22681919008927237,0.7999999999999999,1.1012449264526367,0.00033401037217117846,0.00033401037217117846,0.08564047515392303,0.0007570451707579195,0.0007570451707579195,0.008839805820755546,0.20200276374816895
6,1.1722609822092385,0.22527330866719816,0.8049999999999999,1.102992057800293,0.00035938300425186753,0.00035938300425186753,0.1583104431629181,0.0007836243021301925,0.0007836243021301925,0.004949921726412961,0.29118603467941284
7,1.1684218583435848,0.2248466645516993,0.7699999999999999,1.1066546440124512,0.0004268877091817558,0.0004268877091817558,0.12945452332496643,0.0008789923158474267,0.0008789923158474267,0.006789969892677403,0.11390752345323563
8,1.1668639553004299,0.22703880762252798,0.7799999999999999,1.1017340421676636,0.00045072741340845823,0.00045072741340845823,0.08368927240371704,0.0009079657611437142,0.0009079657611437142,0.010849249074166728,-0.2206694483757019
9,1.165279412064059,0.22722816721890607,0.7649999999999999,1.1090270280838013,0.0005362412193790078,0.0005362412193790078,0.11988269537687302,0.0010880791814997792,0.0010880791814997792,0.009076198846540819,0.04137037694454193
10,1.1633848517105496,0.22413285086205054,0.7599999999999999,1.1091481447219849,0.0006301075918599963,0.0006301075918599963,0.13672293722629547,0.0012087797513231635,0.0012087797513231635,0.008841089694573083,-0.08035694062709808
11,1.160754702214537,0.21850519116954828,0.72,1.1151857376098633,0.000799717556219548,0.000799717556219548,0.2310681939125061,0.0018960607703775167,0.0018960607703775167,0.008205632883838005,0.13752570748329163
12,1.1582084462560456,0.2192673130911544,0.7649999999999999,1.1062194108963013,0.0007696917746216059,0.0007696917746216059,0.3750317394733429,0.0016071076970547438,0.0016071076970547438,0.004285257827275114,-0.33400624990463257
13,1.1594364036773812,0.2257047225278944,0.7749999999999999,1.0962917804718018,0.0007101263618096709,0.0007101263618096709,0.10171253234148026,0.0014850895386189222,0.0014850895386189222,0.014600851089156052,-0.21438045799732208
