epoch,train_loss,validation_mcc,threshold
1,0.6983165740966797,0.013652592788242301,0.5399999999999999
2,0.6975471079349518,0.0,0.05
3,0.6957051455974579,0.0,0.05
4,0.696351945400238,0.022371868507134143,0.5349999999999999
5,0.6958109140396118,0.0,0.05
6,0.6949183940887451,0.22371868507134143,0.5299999999999999
7,0.6943905651569366,0.0,0.05
8,0.6928642690181732,0.11185934253567072,0.5249999999999999
9,0.6934187412261963,0.04923659639173309,0.5249999999999999
10,0.6934012472629547,0.04960880601391585,0.5249999999999999
11,0.6933437287807465,0.12114272964576908,0.5199999999999999
12,0.6926193535327911,0.11904761904761904,0.5199999999999999
13,0.6927076280117035,0.06117151949384656,0.5199999999999999
14,0.6923232078552246,0.12114272964576908,0.5149999999999999
