dataset,lambda_el,seed,epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
SGCC,0,11,1,1.2455563031393906,0.19649924849291975,0.6549999999999999,1.190123438835144,0.006458777468651533,0.0,0.07363995909690857,0.0005986018804833293,0.0,0.0,-0.08754110336303711
SGCC,0,11,2,1.1849513218320649,0.20303526978318007,0.7799999999999999,1.1544283628463745,0.006481556221842766,0.0,0.1384226530790329,0.0006235524197109044,0.0,0.0,0.13598783314228058
SGCC,0,11,3,1.1753254450600723,0.20368514161110357,0.845,1.144540786743164,0.006503681186586618,0.0,0.058658551424741745,0.0007042124634608626,0.0,0.0,0.31764668226242065
SGCC,0,11,4,1.1720980148890923,0.20719136394800103,0.825,1.1431465148925781,0.006558844819664955,0.0,0.04166048765182495,0.00077199621591717,0.0,0.0,0.18620610237121582
SGCC,0,11,5,1.1697864388597423,0.21012892144951467,0.8549999999999999,1.1396480798721313,0.0065612634643912315,0.0,0.037803538143634796,0.0008705537184141576,0.0,0.0,-0.0671391487121582
SGCC,0,11,6,1.1681168295186142,0.20773265189430448,0.8599999999999999,1.1411172151565552,0.0065680984407663345,0.0,0.1432463377714157,0.0010360914748162031,0.0,0.0,-0.3910379111766815
SGCC,0,11,7,1.1675670177772128,0.20645136097291794,0.8699999999999999,1.1373120546340942,0.006612145807594061,0.0,0.05104682594537735,0.0010672559728845954,0.0,0.0,0.3437791168689728
SGCC,0,11,8,1.162943678683248,0.20990966754783555,0.815,1.135369896888733,0.006559756118804216,0.0,0.06005571410059929,0.0014320291811600327,0.0,0.0,0.17922046780586243
SGCC,0,11,9,1.1586311521201298,0.2053276027101404,0.7699999999999999,1.140636682510376,0.006582699716091156,0.0,0.13966622948646545,0.0017311223782598972,0.0,0.0,0.06706497818231583
SGCC,0,23,1,1.2383563950144012,0.16098818364121975,0.6749999999999999,1.2102936506271362,0.005653472151607275,0.0,0.07032682746648788,0.0005863861879333854,0.0,0.0,-0.454376220703125
SGCC,0,23,2,1.18286843443739,0.1623949947998129,0.8049999999999999,1.1898154020309448,0.005684589501470327,0.0,0.08036069571971893,0.0005296150338836014,0.0,0.0,-0.5317643880844116
SGCC,0,23,3,1.17544896438204,0.17080420340301358,0.705,1.1838045120239258,0.0057413410395383835,0.0,0.07099387794733047,0.0005302066565491259,0.0,0.0,0.053187813609838486
SGCC,0,23,4,1.1716017394230283,0.17521170525317364,0.615,1.179574966430664,0.005774231161922216,0.0,0.05142216011881828,0.0005960846319794655,0.0,0.0,0.07194769382476807
SGCC,0,23,5,1.1697337894604123,0.18261351824517974,0.6399999999999999,1.1751538515090942,0.005811072885990143,0.0,0.04985005781054497,0.0006982664344832301,0.0,0.0,0.07777342200279236
SGCC,0,23,6,1.1660173144833794,0.18594596659255755,0.6799999999999999,1.167763113975525,0.005823339801281691,0.0,0.05088724568486214,0.000817284919321537,0.0,0.0,-0.006761283613741398
SGCC,0,23,7,1.162643249692588,0.1764543092188373,0.7799999999999999,1.1561375856399536,0.005825599189847708,0.0,0.09446171671152115,0.0011328122345730662,0.0,0.0,0.10316766053438187
SGCC,0,23,8,1.1560739206856694,0.18121094768540938,0.6649999999999999,1.1526365280151367,0.005892881192266941,0.0,0.06650540232658386,0.0014405854744836688,0.0,0.0,0.1298038512468338
SGCC,0,23,9,1.1545345197463859,0.18585431907350042,0.705,1.1525835990905762,0.0059375520795583725,0.0,0.17221538722515106,0.0016459058970212936,0.0,0.0,0.06362085789442062
SGCC,0,23,10,1.152487078617359,0.188379206391831,0.6549999999999999,1.1525415182113647,0.006074678618460894,0.0,0.17478826642036438,0.0018877071561291814,0.0,0.0,0.09328630566596985
SGCC,0,23,11,1.1513806509560551,0.1889298962299898,0.61,1.1503124237060547,0.006146591622382402,0.0,0.07497741281986237,0.0019609543960541487,0.0,0.0,0.14245544373989105
SGCC,0,23,12,1.149536804906253,0.19120499240483319,0.6549999999999999,1.150408148765564,0.006218047812581062,0.0,0.20589303970336914,0.0028747711330652237,0.0,0.0,0.2755347490310669
SGCC,0,23,13,1.149066839752526,0.18882727923420603,0.6399999999999999,1.1478970050811768,0.006128961686044931,0.0,0.10286470502614975,0.002144130412489176,0.0,0.0,0.2848002314567566
SGCC,0,23,14,1.1453952337133473,0.18986931128914125,0.6499999999999999,1.14434015750885,0.006191140506416559,0.0,0.1568363457918167,0.002977953990921378,0.0,0.0,0.30204880237579346
SGCC,0,23,15,1.1455486170176803,0.19078707608935966,0.7599999999999999,1.1469889879226685,0.006261853501200676,0.0,0.13199979066848755,0.0028271556366235018,0.0,0.0,0.4565456807613373
SGCC,0,23,16,1.1429013034393047,0.19002483108240736,0.6749999999999999,1.1466426849365234,0.006268942728638649,0.0,0.25372064113616943,0.00330112362280488,0.0,0.0,-0.2728749215602875
SGCC,0,37,1,1.2475794492096737,0.18412052560142436,0.595,1.1917024850845337,0.0032665643375366926,0.0,0.04922104254364967,0.0004962771199643612,0.0,0.0,-0.20491628348827362
SGCC,0,37,2,1.1975649266407407,0.18919446041026597,0.7949999999999999,1.1667174100875854,0.0032605589367449284,0.0,0.02463584952056408,0.0004873044090345502,0.0,0.0,-0.19788064062595367
