epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,0.6933305263519287,0.16993235521110622,0.5149999999999999,0.6922990083694458,0.0037183857057243586,0.00037183857057243586,0.015830833464860916,0.0003820358542725444,3.8203585427254444e-05,0.002413239044681599,-0.27583470940589905
2,0.6919348835945129,0.10768601458875716,0.5299999999999999,0.6917353272438049,0.003130580298602581,0.0003130580298602581,0.01551668718457222,0.00036294537130743265,3.6294537130743267e-05,0.002339064820925812,-0.30180585384368896
3,0.6916410326957703,0.17740004829626463,0.5449999999999999,0.6912145018577576,0.0026293329428881407,0.0002629332942888141,0.015270605683326721,0.0003472442040219903,3.472442040219903e-05,0.0022739386454142447,-0.330099493265152
4,0.691131055355072,0.16807316136320358,0.5499999999999999,0.6906808018684387,0.002208187710493803,0.0002208187710493803,0.015032387338578701,0.0003344530123285949,3.3445301232859494e-05,0.0022248828798487916,-0.3596554696559906
5,0.6899770498275757,0.14149998919097348,0.5299999999999999,0.6901606917381287,0.0018578715389594436,0.00018578715389594436,0.014821371994912624,0.0003242112579755485,3.2421125797554855e-05,0.0021874578013886484,-0.3889288306236267
6,0.6898722946643829,0.1649572197684645,0.5549999999999999,0.6896591782569885,0.001567473285831511,0.0001567473285831511,0.014666954055428505,0.00031613599276170135,3.1613599276170135e-05,0.002155430442932994,-0.417043536901474
7,0.6891780197620392,0.17712297710801905,0.5599999999999999,0.6891744136810303,0.0013266135938465595,0.00013266135938465597,0.014563828706741333,0.00030997488647699356,3.099748864769936e-05,0.002128388713700758,-0.44222110509872437
8,0.688888281583786,0.17740004829626463,0.565,0.6886835694313049,0.0011268336093053222,0.00011268336093053223,0.014491074718534946,0.00030547240749001503,3.05472407490015e-05,0.002108003812162376,-0.464206337928772
9,0.6889050602912903,0.17740004829626463,0.57,0.6881805062294006,0.0009616064489819109,9.61606448981911e-05,0.014447498135268688,0.00030236897873692214,3.0236897873692215e-05,0.0020928812442535666,-0.4828791916370392
10,0.6884898543357849,0.17740004829626463,0.575,0.6876569986343384,0.0008256909204646945,8.256909204646946e-05,0.014414595440030098,0.00030040310230106115,3.0040310230106117e-05,0.002084020349727095,-0.49911952018737793
11,0.6879206001758575,0.17712297710801905,0.58,0.6871253252029419,0.000714511435944587,7.14511435944587e-05,0.01441532839089632,0.00029920460656285286,2.9920460656285288e-05,0.0020756003501925693,-0.5123556852340698
