epoch,train_loss,validation_mcc,threshold
1,0.6918624341487885,0.16807316136320358,0.5099999999999999
2,0.6921696066856384,0.16487498971248796,0.48999999999999994
3,0.6916665434837341,0.1655211777204736,0.49999999999999994
4,0.6910431981086731,0.1655211777204736,0.49999999999999994
5,0.6910099387168884,0.1709786436730771,0.49999999999999994
6,0.6901182234287262,0.1846372364689991,0.5249999999999999
7,0.6907661557197571,0.175919798853417,0.48499999999999993
8,0.6899287104606628,0.1655211777204736,0.5049999999999999
9,0.6899187862873077,0.1846372364689991,0.5349999999999999
10,0.6893194615840912,0.22587697572631282,0.4799999999999999
11,0.6891912221908569,0.18699392279626206,0.4799999999999999
12,0.6897620260715485,0.1892583246525563,0.5049999999999999
13,0.688647598028183,0.20085883379503597,0.5049999999999999
14,0.6874123513698578,0.23280223035107195,0.4749999999999999
15,0.6886573731899261,0.19728305039201205,0.5049999999999999
16,0.6886840760707855,0.19728305039201205,0.5049999999999999
17,0.6874679028987885,0.23280223035107195,0.4699999999999999
18,0.6865555047988892,0.20085883379503597,0.5099999999999999
19,0.6874896585941315,0.20478889182363452,0.5199999999999999
20,0.6871480047702789,0.2316661873125233,0.4649999999999999
21,0.6859065294265747,0.20085883379503597,0.5099999999999999
22,0.685314953327179,0.23280223035107195,0.4599999999999999
