epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,0.696399062871933,0.0,0.05,0.6959210634231567,0.004245262127369642,4.245262127369642e-09,0.016831813380122185,0.000432397035183385,4.32397035183385e-10,2.5689272178720306e-08,0.13365299999713898
2,0.6962787210941315,0.0,0.05,0.6952494382858276,0.00413441052660346,4.1344105266034604e-09,0.01593494601547718,0.0004267525509931147,4.267525509931147e-10,2.6780922293594313e-08,0.11717984825372696
3,0.6952643692493439,0.0,0.05,0.6946215033531189,0.004026342183351517,4.026342183351517e-09,0.015126549638807774,0.00042152428068220615,4.2152428068220614e-10,2.786651885243999e-08,0.09849224239587784
4,0.6948106288909912,0.0,0.05,0.6940374970436096,0.003921106923371553,3.921106923371553e-09,0.01447645016014576,0.0004167988372500986,4.1679883725009854e-10,2.8791508459550548e-08,0.07564668357372284
5,0.6935052871704102,0.1846372364689991,0.48499999999999993,0.6934959888458252,0.0038187087047845125,3.818708704784513e-09,0.013929955661296844,0.00041274225804954767,4.1274225804954767e-10,2.9629832864171687e-08,0.05030357465147972
6,0.6935728192329407,0.186858321674153,0.48499999999999993,0.6929854154586792,0.0037192620802670717,3.7192620802670714e-09,0.013521406799554825,0.00040903559420257807,4.09035594202578e-10,3.025096428694424e-08,0.0200232844799757
7,0.6927311420440674,0.17323973216880925,0.48999999999999994,0.692497968673706,0.0036226969677954912,3.622696967795491e-09,0.013197948224842548,0.00040583821828477085,4.0583821828477084e-10,3.075009928595265e-08,-0.013612061738967896
8,0.6923164427280426,0.14595127662315596,0.48999999999999994,0.6920303702354431,0.003529092064127326,3.529092064127326e-09,0.0129707595333457,0.0004030192503705621,4.0301925037056207e-10,3.107136859136626e-08,-0.05063745379447937
9,0.6919727325439453,0.19781414201873612,0.49499999999999994,0.691566526889801,0.0034383987076580524,3.4383987076580522e-09,0.01281441655009985,0.00040063716005533934,4.006371600553393e-10,3.126456506927095e-08,-0.09088645875453949
10,0.6913667917251587,0.19367011027991354,0.49999999999999994,0.6911137700080872,0.0033506175968796015,3.350617596879601e-09,0.01272687315940857,0.000398568605305627,3.98568605305627e-10,3.1317087890592986e-08,-0.13290302455425262
