epoch,train_loss,validation_mcc,threshold
1,0.6962586343288422,0.10540925533894598,0.5499999999999999
2,0.6963760256767273,0.14907119849998599,0.5399999999999999
3,0.6948743462562561,0.16807316136320358,0.5449999999999999
4,0.6942650377750397,0.16807316136320358,0.5449999999999999
5,0.6937393844127655,0.2,0.5399999999999999
6,0.6925557851791382,0.16807316136320358,0.5399999999999999
7,0.6915082335472107,0.25362863675089403,0.5349999999999999
8,0.6908661425113678,0.2,0.5349999999999999
9,0.6897857487201691,0.16807316136320358,0.5349999999999999
10,0.6900305449962616,0.21442250696755896,0.5299999999999999
11,0.6885533630847931,0.2,0.5299999999999999
12,0.6881289482116699,0.24743582965269675,0.5249999999999999
13,0.6879549026489258,0.22808577638091165,0.5249999999999999
14,0.6876837313175201,0.2,0.5249999999999999
15,0.6875377595424652,0.2,0.5249999999999999
