epoch,train_loss,validation_mcc,threshold
1,1.2072712039125377,0.19764796745892527,0.7549999999999999
2,1.171891819814156,0.19828966140930307,0.8049999999999999
3,1.1591822957170421,0.19656591978807117,0.8899999999999999
4,1.1520612527584206,0.20470638624524273,0.8799999999999999
5,1.1467920675359924,0.2030607969130642,0.8899999999999999
6,1.1380639261212842,0.20235264100966588,0.83
7,1.1379049194270168,0.20922734062195625,0.59
8,1.1301931523043534,0.21278268965305794,0.6399999999999999
9,1.1283450619927768,0.21022872593830588,0.5599999999999999
10,1.125440221408318,0.21232604661623225,0.4549999999999999
11,1.1233097397047898,0.2186744263045305,0.595
12,1.124399511978544,0.21997910974095183,0.5549999999999999
13,1.1210953171910911,0.22054419340184786,0.61
14,1.1224756949934467,0.21931502843850648,0.5599999999999999
15,1.1202428885574998,0.22105415996300629,0.6
16,1.1173891908135907,0.21696663802704233,0.565
17,1.1152071963096488,0.21884079821222066,0.6749999999999999
18,1.115975391248177,0.22185068617114478,0.575
19,1.1132190433041802,0.2152607201835337,0.625
20,1.111666519066383,0.21920369597828748,0.695
