epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2308110779729382,0.18206000874893638,0.6849999999999999,1.2519410848617554,0.0005295882001519203,5.2958820015192036e-09,0.053614240139722824,0.0004421577032189816,4.421577032189817e-09,8.247019860146945e-08,-0.26079562306404114
2,1.1867303334433457,0.18386256604747062,0.725,1.2450878620147705,0.00019349799549672753,1.9349799549672753e-09,0.22262482345104218,0.0005182514432817698,5.182514432817698e-09,2.3279140001013383e-08,-0.593375563621521
3,1.1792889535427094,0.1966490204929616,0.6799999999999999,1.2457826137542725,0.0002193815162172541,2.193815162172541e-09,0.21078695356845856,0.0006353743956424296,6.353743956424296e-09,3.014296591349878e-08,-0.5587608218193054
4,1.1757491683137828,0.19711799482922096,0.715,1.244528889656067,0.0002689958782866597,2.6899587828665973e-09,0.18124163150787354,0.0007222292479127645,7.222292479127646e-09,3.9848970785798155e-08,-0.4636133313179016
5,1.1718704371616757,0.1975507116802034,0.705,1.2412933111190796,0.0003262048994656652,3.2620489946566523e-09,0.13995681703090668,0.0007975242915563285,7.975242915563286e-09,5.6983597403491334e-08,-0.3363371789455414
6,1.1679347034158378,0.19872931704958216,0.72,1.2431044578552246,0.00038337428122758865,3.833742812275887e-09,0.2390565127134323,0.0008799407514743507,8.799407514743508e-09,3.680890102036981e-08,-0.3607533872127533
7,1.163763243576576,0.19490141376801906,0.7499999999999999,1.2373127937316895,0.0004413762653712183,4.413762653712183e-09,0.22649508714675903,0.0009650303982198238,9.650303982198239e-09,4.2607122758231216e-08,-0.33249929547309875
8,1.160546696391599,0.19602384868955208,0.6699999999999999,1.2385326623916626,0.0005353845190256834,5.3538451902568346e-09,0.3515584468841553,0.0011342217912897468,1.1342217912897468e-08,3.2262680682040134e-08,-0.2867841124534607
9,1.1585482903595627,0.19342419744043993,0.74,1.2256146669387817,0.0006423640297725797,6.423640297725797e-09,0.09039418399333954,0.0013079565251246095,1.3079565251246096e-08,1.4469476545316046e-07,0.027695277705788612
10,1.156702966525637,0.19239498508214198,0.71,1.2269096374511719,0.0007292053196579218,7.292053196579218e-09,0.1522517055273056,0.001533139613457024,1.5331396134570243e-08,1.0069769715532435e-07,0.07549123466014862
