epoch,train_loss,validation_mcc,threshold
1,0.6931479573249817,0.16807316136320358,0.5149999999999999
2,0.6929600536823273,0.14990633779917228,0.5149999999999999
3,0.6923254430294037,0.22140372138502382,0.5099999999999999
4,0.692114919424057,0.21442250696755896,0.5099999999999999
5,0.6915061771869659,0.2,0.5099999999999999
6,0.6911211311817169,0.25362863675089403,0.5049999999999999
7,0.6908080279827118,0.21442250696755896,0.5049999999999999
8,0.6909118890762329,0.23468085224913543,0.49999999999999994
9,0.6900296807289124,0.2656844656620286,0.49999999999999994
10,0.689384788274765,0.24112141108520604,0.49999999999999994
11,0.689193844795227,0.2656844656620286,0.49499999999999994
12,0.689337968826294,0.2656844656620286,0.49499999999999994
13,0.6876606345176697,0.2656844656620286,0.48999999999999994
14,0.6892300248146057,0.2656844656620286,0.48999999999999994
15,0.6877422630786896,0.2656844656620286,0.48999999999999994
16,0.686518669128418,0.2656844656620286,0.48499999999999993
17,0.687556803226471,0.2656844656620286,0.48499999999999993
