epoch,train_loss,validation_mcc,threshold,bce_loss,physics_loss_raw,physics_loss_weighted,bce_grad_norm,physics_grad_norm_raw,physics_grad_norm_weighted,weighted_to_bce_grad_ratio,gradient_cosine
1,1.2450236452036891,0.1700591418882752,0.595,1.2310631275177002,0.00021068555361125618,2.106855536112562e-06,0.06527059525251389,0.00045195192797109485,4.5195192797109485e-06,6.924280776398894e-05,-0.5744251608848572
2,1.197769650097551,0.18281179942189055,0.62,1.2076001167297363,0.00020096480147913098,2.0096480147913097e-06,0.06645317375659943,0.00048816189519129694,4.881618951912969e-06,7.345953061313611e-05,-0.6077601313591003
3,1.1837825148270047,0.18667961981020492,0.6,1.2029939889907837,0.00022499891929328442,2.2499891929328444e-06,0.10731127113103867,0.0005430511082522571,5.430511082522571e-06,5.060522557682995e-05,-0.5801512598991394
4,1.1800067414497506,0.18404224951737244,0.6399999999999999,1.194916844367981,0.000274805846856907,2.7480584685690703e-06,0.039343640208244324,0.0006255719345062971,6.255719345062971e-06,0.0001590020473944886,-0.6864091157913208
5,1.1757806940325375,0.187518391171696,0.625,1.185726523399353,0.0003462997847236693,3.462997847236693e-06,0.046279728412628174,0.0007406126824207604,7.406126824207604e-06,0.00016002960860476273,-0.49984222650527954
6,1.1708636756601005,0.18294723469064303,0.575,1.1739157438278198,0.00047510763397440314,4.751076339744031e-06,0.206505686044693,0.0009712480823509395,9.712480823509395e-06,4.7032510385246103e-05,-0.47710952162742615
7,1.1637105325172687,0.1709884125827158,0.575,1.169075846672058,0.000701734097674489,7.01734097674489e-06,0.16552242636680603,0.0015161962946876884,1.5161962946876884e-05,9.160065665831415e-05,-0.23628972470760345
8,1.1607565633181869,0.17913543002481885,0.615,1.160110354423523,0.0007607763982377946,7.607763982377946e-06,0.09333313256502151,0.0015875962562859058,1.587596256285906e-05,0.00017009996478794818,-0.43818315863609314
9,1.1564221854867607,0.1785825128858036,0.74,1.1629362106323242,0.0008372356533072889,8.372356533072888e-06,0.22333469986915588,0.0018512558890506625,1.8512558890506627e-05,8.289154753539193e-05,-0.21603840589523315
